Division/ District,Total,"Motor Cars, Jeeps and Station Wagons",Motor Cycles and Scoo- ters,Trucks,Pick- ups/ Deli- very Vans,Mini Buses/ Buses/ Flying/ Luxury Coaches,Taxis,Auto Rick- shaws,Tractors,Other Vehicles
The Punjab,"21,135,261","1,971,747","17,499,553","82,647","286,959","108,204","70,152","593,346","514,227","8,426"
Bahawalpur Divn.,"1,938,397","40,733","1,803,630","1,603","10,584","2,276","3,943","10,234","65,252",142
Bahawalpur,"653,080",22479,597339,716,4698,948,3166,9182,14500,52
Bahawalnagar,"408,004",2285,379501,102,1958,171,351,549,23062,25
R.Y.Khan,"877,313",15969,826790,785,3928,1157,426,503,27690,65
D.G.Khan Divn.,"1,054,544","9,942","968,196","1,445","3,424","1,576","1,991","12,306","55,517",147
D.G.Khan,"622,506",5723,584173,774,1896,987,1530,654,26710,59
Layyah,"221,317",1595,194016,110,593,277,134,10893,13667,32
Muzaffargarh,"174,848",2033,159368,524,592,213,136,755,11193,34
Rajanpur,"35,873",591,30639,37,343,99,191,4,3947,22
Faisalabad Divn.,"2,278,973","80,124","2,060,467","7,140","20,165","4,683","5,625","59,585","40,963",221
Faisalabad,"1,633,257",75579,1488684,5788,17038,3527,5055,23568,13850,168
Chioniot,"114,013",587,95057,61,1270,29,10,15373,1613,13
Jhang,"285,638",2491,246493,1186,1302,937,435,20243,12528,23
T.T.Singh,"246,065",1467,230233,105,555,190,125,401,12972,17
Gujranwala Divn.,"2,638,271","55,960","2,413,504","3,015","21,327","5,404","4,757","67,885","65,541",878
Gujranwala,"946,031",19295,876284,1464,8030,1737,3441,15164,19923,693
Gujrat,"512,073",5528,477949,821,3494,998,442,12187,10585,69
Hafizabad,"128,809",1009,122108,108,443,218,204,331,4379,9
M. B.Din,"186,630",2170,171199,173,1431,369,220,3843,7197,28
Narowal,"77,065",389,62741,16,327,44,1,2651,10879,17
Sialkot,"787,663",27569,703223,433,7602,2038,449,33709,12578,62
Lahore Divn.,"6,830,912","1,502,608","4,740,251","45,557","126,864","65,319","28,244","222,755","93,344","5,970"
Lahore,"6,663,603",1499217,4619091,43807,124299,64511,27627,220210,58965,5876
Kasur,"52,322",889,29939,546,1447,294,274,414,18488,31
Nankana Sahib,"39,910",308,37202,23,126,31,1,47,2154,18
Sheikhupura,"75,077",2194,54019,1181,992,483,342,2084,13737,45
Multan Divn.,"2,370,917","129,173","2,110,216","7,303","22,841","6,324","12,223","23,672","58,975",190
Multan,"1,573,522",119656,1366805,6761,21168,5746,10699,22000,20539,148
Khanewal,"297,966",2387,281801,89,458,87,367,590,12170,17
Lodhran,"86,995",3048,74128,256,566,174,356,603,7847,17
Vehari,"412,434",4082,387482,197,649,317,801,479,18419,8
Rawalpindi Divn.,"1,840,166","127,760","1,481,966","10,748","67,813","18,216","9,031","95,198","28,812",622
Rawalpindi,"1,170,758",106604,937612,9225,57237,14471,8145,33061,3928,475
Attock,"196,906",12741,140325,1093,5460,2597,487,22666,11458,79
Chakwal,"192,614",1798,160513,128,2200,542,105,19322,7978,28
Jhelum,"279,888",6617,243516,302,2916,606,294,20149,5448,40
Sahiwal Divn.,"997,168","13,994","907,671","1,690","4,829",917,"2,130","4,794","61,034",109
Sahiwal,"498,455",9880,446126,1067,2858,528,1955,1101,34900,40
Okara,"361,653",3059,337316,585,1478,267,166,3443,15293,46
Pakpattan,"137,060",1055,124229,38,493,122,9,250,10841,23
Sargodha Divn.,"1,185,913","11,453","1,013,652","4,146","9,112","3,489","2,208","96,917","44,789",147
Sargodha,"613,494",8445,529643,2758,4298,1811,1843,46010,18613,73
Bhakkar,"194,329",1019,155134,119,754,287,84,27261,9661,10
Khushab,"157,212",760,132323,519,782,627,19,15246,6915,21
Mianwali,"220,878",1229,196552,750,3278,764,262,8400,9600,43
