region,vehicle_type,count
Lahore (incl. Divn.),Motor Cycles and Scooters,9359342.0
Lahore (incl. Divn.),"Motor Cars, Jeeps and Station Wagons",3001825.0
Lahore (incl. Divn.),Auto Rickshaws,442965.0
Lahore (incl. Divn.),Pick-ups / Delivery Vans,251163.0
Lahore (incl. Divn.),Tractors,152309.0
Lahore (incl. Divn.),Mini Buses/ Buses/ Flying/ Luxury Coaches,129830.0
Lahore (incl. Divn.),Trucks,89364.0
Lahore (incl. Divn.),Taxis,55871.0
Lahore (incl. Divn.),Other Vehicles,11846.0
Sheikhupura,Motor Cycles and Scooters,54019.0
Sheikhupura,Tractors,13737.0
Sheikhupura,"Motor Cars, Jeeps and Station Wagons",2194.0
Sheikhupura,Auto Rickshaws,2084.0
Sheikhupura,Trucks,1181.0
Sheikhupura,Pick-ups / Delivery Vans,992.0
Sheikhupura,Mini Buses/ Buses/ Flying/ Luxury Coaches,483.0
Sheikhupura,Taxis,342.0
Sheikhupura,Other Vehicles,45.0
